area_sqft,price
2538,593037
2031,482307
1963,482431
1963,416873
3642,748546
2785,435967
1803,353396
2579,473707
2323,590222
1072,216463
1481,293013
2383,506430
3511,702818
1969,465920
1755,321092
2219,431294
1720,304704
1923,316794
2123,388315
1457,286435
2838,536095
1373,258068
1321,230851
2287,442851
2758,429735
2266,480705
2047,406401
1916,308119
1809,336308
3070,536786
2391,490401
1859,436850
1673,265115
2641,527391
3043,590256
2943,624158
1577,323422
1911,333461
1797,353695
1997,332860
2828,636232
3388,683886
2422,602350
1693,376331
2106,389221
3625,572610
2200,339401
1918,280921
1973,406527
2418,501961
1595,269702
1783,388159
2928,548415
2395,478199
2208,556638
2981,658090
1658,347947
1898,349509
2368,353387
2339,431237
1280,255130
1835,292883
2014,392086
2458,509055
2336,453316
2078,360698
1070,217667
2113,471585
2179,395155
4793,1126461
1992,407795
2372,470041
3159,662046
2770,556339
3440,793328
1286,262353
1493,272097
1741,359539
1219,237516
2186,467466
1532,338435
3608,700273
1610,321225
1902,268127
2829,549092
1368,259311
1194,246921
2277,380431
2338,532704
2799,486541
2561,565059
2368,490872
1671,299024
2315,578321
2365,385869
1651,371350
3989,915681
2518,453764
1502,341840
2804,539719
2975,634199
2466,512105
1955,376415
1627,365672
2076,439788
2405,386104
2143,504652
3497,549360
2654,586615
1567,344281
1450,258487
2526,497682
1970,330008
2735,539131
2518,452885
2079,447528
1573,365685
1235,276409
2301,413742
1361,255045
1552,249475
2252,402281
2178,454505
1413,307764
3097,514614
3067,574722
2555,468001
2553,521068
2555,451304
5500,1178636
2966,552251
2677,540166
1616,347372
1961,360505
4583,877794
1089,218092
1802,364017
3103,650684
1650,288063
2703,674468
2168,459697
1689,329545
1031,223435
2278,430303
1604,359389
2048,433491
2546,479546
2879,619304
1800,283053
1687,273011
1353,223541
2930,615338
4321,1042975
3045,784164
3291,699576
1655,363001
2492,396539
2792,548193
704,124301
1475,282096
3705,726661
1273,259031
3483,513410
1270,289023
1498,256496
2508,515685
2187,552096
1859,332852
3650,497212
1365,266425
2021,483552
2620,666985
2355,411670
1706,355617
1727,311975
2864,579432
2912,788089
2377,408155
1583,317644
1745,366033
2118,456405
2224,444292
2583,551413
1985,370601
2840,596744
2829,538615
3333,723067
2149,392778
2391,501997
2037,361022
1590,359845
4281,826011
3175,512247
2808,661821
2124,383722
1545,306475
2987,538658
2025,500709
2466,375498
1743,481809
2326,543562
1779,349184
1802,345648
2315,470427
1265,261520
1284,261566
1648,370863
1977,395986
2871,565369
2015,386896
2119,386239
1925,443536
2390,484714
1584,199371
2052,423625
2456,533023
2309,474329
2143,409347
2152,509818
2540,555368
4362,796024
1619,343301
4411,778817
1595,283114
996,194632
1767,395870
2406,513617
4002,837169
1544,334920
2534,540944
1325,226736
3946,867848
3197,726095
1804,403775
1150,265327
3386,733811
2048,413368
3259,740152
2137,429909
2169,367374
1816,360835
2651,478487
2226,379007
2554,488661
1226,214766
3302,663268
3609,559198
2222,436291
4239,855053
3852,668410
2671,594558
3402,752982
3071,489382
1132,224666
1938,331026
2738,462313
3700,807838
1296,268554
1154,200433
2092,271070
1016,212531
2067,357616
2426,506937
1521,307755
2086,482080
2967,513610
1764,191633
1604,322386
2054,506048
1469,346033
4115,836637
2160,405995
1659,328027
2301,394239
2050,441188
1972,404563
1764,400478
1736,473538
1235,253912
3400,639211
2609,505723
2380,367664
2039,381451
1512,289312
1626,295025
1277,263569
1692,314263
1444,298627
3770,771215
2895,573193
2193,426916
1565,336998
1468,303286
1994,344862
2938,534975
1288,236002
2597,458043
1689,290378
1792,328735
2170,484567
1582,308788
1959,395397
1539,345244
1735,336030
2774,580379
2210,428277
2770,549609
1682,316684
2604,388331
1186,233482
2170,514554
2665,605156
1172,243564
1688,415394
2169,441730
3018,643003
1735,309182
2568,520489
3484,761881
2610,608763
1985,393506
2430,454985
1718,361612
2200,475103
2018,301322
2402,325773
1841,340128
2450,419897
1835,342889
2884,584489
1899,329020
1026,244647
1484,281558
2147,456986
3757,808268
2844,494113
967,205574
1251,267033
3160,700461
2660,469465
4522,726502
1810,407719
1571,318454
2188,401099
1798,345277
3050,711841
1777,291662
1938,472528
1499,246730
2775,607882
1531,300305
2466,502402
4003,728512
1124,215942
3546,708124
2354,393730
1422,316483
2217,418811
2746,530539
1606,269870
2516,357809
3658,738879
1776,455196
1494,318823
2040,414398
2176,415495
3108,621228
2017,442031
1831,283571
1481,357319
1174,256979
1339,285726
1337,280672
1945,389354
1240,242901
2093,471910
3968,758917
3142,589877
1938,406879
4954,1166913
2179,375320
2288,369598
2027,426369
2109,392513
1756,357312
1948,392445
3555,697479
3268,782346
1014,151559
1284,219438
1613,316776
2948,454981
3296,657194
2742,656736
1420,241088
1768,358171
2532,411050
1958,337012
1866,337138
1875,361812
3176,756830
2624,566087
1910,319880
2393,500090
1358,281681
1769,393834
3062,715967
1216,186142
2636,467855
1011,172743
3781,732477
1755,365222
2454,537205
2221,449152
2250,412181
2377,496117
1151,191225
2266,560275
1998,297318
1758,352254
1613,418759
2286,465309
1500,307482
3042,588913
2517,475561
2335,542099
2995,421591
1099,281985
1344,203054
2557,507723
1644,324508
1713,395298
1284,199342
1501,328231
3067,802660
2535,411415
2277,443196
1736,290199
2227,479872
3165,606296
1657,299292
2107,453663
3871,951504
2729,539144
1744,383494
2650,463498
1211,198876
2078,429923
2649,616484
2438,521725
2640,520806
2848,576380
2506,440562
2480,515846
2295,534732
1445,295465
3066,588152
2104,461431
2705,486544
2950,577298
1773,436742
1826,364813
1911,349242
3279,613930
1546,358523
3490,692464
2286,424436
2344,531336
2903,670778
2196,425044
3079,483698
1773,398584
3447,624105
1819,369393
3497,510994
1836,436795
1929,308254
1486,327119
1619,339464
2107,352371
2317,442574
2996,664697
1977,400785
1423,348422
2440,583500
2262,379895
2535,606820
1697,355414
1764,319757
1697,272007
3207,629666
3460,743735
1739,351242
1750,420674
2660,445089
3605,735648
3902,663592
1712,360277
1857,399443
2359,436330
2399,341479
2003,432141
1601,334119
2108,443683
3901,886867
1772,324613
2308,510927
4886,1151545
1764,261179
2705,556942
3965,746349
2622,528718
3123,648486
2836,519446
2548,479718
3417,697045
2675,448456
2010,367805
2247,505072
2428,417924
1854,402795
2282,491128
2169,327245
2672,489504
4376,973199
2329,421860
3640,662154
2637,580492
2279,495378
1819,349091
2285,413363
2236,522377
1659,425225
1746,354641
2435,511441
3626,656855
2084,355451
1265,253376
971,229525
1476,332848
2730,572986
1344,235349
2886,658091
2676,454333
2059,395378
1230,238330
1664,432346
1958,559652
2414,527447
1358,270813
3486,770123
2406,534679
2504,462919
2669,660334
3358,722208
2286,470525
2730,586050
1673,358572
3908,862668
2232,397245
1671,327634
1819,348515
1081,230964
1815,384709
901,167204
2802,681644
2477,511531
1506,333479
2098,362222
2131,396664
1405,288989
1972,448759
2154,428627
1953,364014
1670,294485
1487,292746
1930,449929
1738,352550
2606,533246
3436,689185
2937,595405
2179,426744
1691,378420
2908,608522
2662,549776
3346,643476
2287,319861
3829,895045
2288,425867
1689,325166
1794,400111
2561,485118
1737,385599
3819,817343
2486,546096
2162,359767
2226,503687
1946,399500
1169,224126
1795,333415
3636,572447
2309,470690
3060,515868
3092,488499
2104,313879
2678,589717
1208,211934
3523,868953
3415,629221
2536,401628
2338,408425
2114,490099
3190,624361
2789,501625
788,182424
1874,425488
1425,299477
1337,300450
3178,602674
2098,335600
2521,485771
2192,441762
1343,268656
1216,232043
1831,385032
1884,389844
1883,394781
1902,335878
4260,815058
3043,539358
2321,528692
2080,471872
2105,300243
2752,474432
2073,335943
2929,536978
2410,506475
4276,679159
2030,366808
3123,568428
1466,334969
1706,338020
4050,744084
2883,597949
2538,475752
4708,907761
2090,512015
3120,690486
3205,547069
3706,819767
1411,307456
2085,387904
2395,517841
3682,871883
2501,459852
3208,555431
1370,300575
1919,394521
3410,741500
2006,421385
2145,430591
3660,602478
1573,346676
1696,387699
1323,263458
3716,745273
3022,462032
2994,653153
1900,410926
1292,277133
1178,275465
3419,671742
2598,563236
2777,504775
2355,477506
1627,316843
1930,430994
1494,298352
1433,290486
2931,627476
1210,209541
1497,243731
1969,482182
2214,510124
1318,223147
1201,284671
2490,477031
2309,459801
3397,702627
2228,420383
2580,459539
1658,296770
1682,290646
1362,225218
1663,327982
1920,341293
3270,665737
1580,405458
4351,823235
2661,542453
2467,524416
2167,441329
2025,434218
1747,410305
1301,278263
1598,285496
3713,825650
2602,558152
3700,663034
1732,349987
1480,314455
2159,417269
1618,365539
2317,598997
1217,220228
1042,156529
2433,494281
3752,798740
2471,494620
2593,581191
2191,382261
2265,512980
1281,232201
1638,358947
3258,808267
1439,259226
1906,339778
3233,708255
2243,449815
2283,463959
1911,369461
2729,390903
2969,587767
1608,290711
1319,255058
1101,251956
2548,437283
2445,567757
4836,945409
2196,423118
2060,449891
2344,483369
2389,529555
2005,440028
1626,312405
2155,398734
2126,360075
2114,358677
2833,780268
2141,493946
1329,228364
1714,278208
1996,441559
2177,451935
2567,574398
2183,396388
1049,212980
1379,294194
2630,519750
1977,292107
2248,455944
1891,304786
1712,357453
1915,488561
2258,457812
2136,434825
2962,651802
1248,247098
1303,271211
1969,454738
2578,620635
2777,461127
1735,390020
853,178735
1754,373642
2448,414763
2122,433656
2612,526972
3215,731621
2016,437389
1821,306682
1552,310030
1300,241928
1192,222642
1678,339665
3053,570744
2701,724799
1792,382390
4368,733145
1717,341124
3328,733924
3621,912653
2506,393927
1673,232399
1872,467260
2277,515249
1312,206290
1503,320278
1463,205774
2574,516783
3204,665255
2739,591685
3008,528816
1625,317200
1901,303424
1951,420560
2503,458921
1693,322195
2940,518219
3583,790902
2548,567685
1873,377105
1577,312533
1464,259442
1052,207344
1972,394775
1933,494159
2874,499199
1731,397071
2010,442564
2356,475590
2533,602064
2754,608344
2274,496906
1336,294219
2455,547650
1689,385097
3260,581497
2149,348566
2322,438886
4996,917440
2772,543973
2439,579233
2031,392018
1372,307390
1980,376748
1571,366404
3749,556277
2450,438291
3215,675100
1714,399336
1609,298574
2674,397005
1550,323229
1824,366649
3818,649873
1849,352750
1279,237940
1131,197397
1230,194416
3286,710566
1751,399687
4932,1066763
3599,618930
4168,809701
3036,612670
2624,574368
1590,355482
2131,372260
2718,544987
2967,645265
1413,347507
1991,412727
2072,460460
2043,383208
1475,347689
3974,863883
1968,337017
1510,342465
4013,883823
3600,656862
2242,412068
1128,242892
1806,372535
1200,242370
2553,541681
1763,433792
2113,483120
3873,787822
1719,389806
2514,436053
2784,591282
3248,788909
2059,397793
1984,339931
1968,360994
2427,407145
3542,622044
1937,373299
901,151656
2897,592253
2185,479711
2555,459190
1214,297141
1765,382229
2810,622094
1357,251266
2512,561523
2107,363909
1638,332869
1594,328078
1479,349526
2180,366600
2270,392355
1871,407789
1449,260205
2486,543910
2917,464720
2648,596625
4235,725141
1999,425251
3409,740092
1692,324367
1601,356479
2228,442930
3695,701454
1922,335053
1214,184265
2896,605610
2075,331602
2370,497482
1628,313681
2220,465004
1269,238384
3999,769259
3094,693700
2185,464386
2867,583201
1693,395840
3042,495601
1893,433560
1847,395352
1512,272036
2475,492490
2152,446501
3451,694281
1455,316135
2479,579793
3206,719168
4978,836865
2285,506480
1881,435258
2264,490680
3346,782113
3345,823508
2046,448937
3323,683179
2116,483123
2855,573426
2583,538335
1855,361002
1530,366504
3237,559598
3575,832021
2458,526532
2115,317041
1394,306849
3206,470426
2357,556909
1945,466729
2885,531455
1312,264935
1488,385162
1673,338924
2554,418532
2273,511979
2662,653612
