area_in_sqft,price
4298,6563282
2988,7292864
2443,6511670
4741,6259378
3235,5472539
4928,7219563
3576,5155318
2849,5645038
4334,6640210
4472,7328058
3899,5225492
3517,5284637
2438,5241702
3065,7381234
4431,6136983
4358,6206103
4547,6411996
3189,7492288
3413,6636820
3078,6862703
2063,7450708
3900,6265099
2265,5888111
3848,6509222
4844,5897492
4224,6072616
2004,6933455
4998,7224835
3888,7191708
2704,7321540
2545,5762687
2471,5828746
2871,7062301
4825,5387274
3996,7493344
4816,6809144
2103,6180732
2279,5605329
2959,5010422
4607,6249956
2369,6512012
3351,7068880
4960,7241593
3652,5492161
2827,5355310
2025,6524284
3301,6723926
2882,6296130
3795,6492397
2784,5094882
2730,6464559
4738,6448131
2150,5451975
3698,5765931
4416,5857475
2158,6706704
4614,5849172
3594,6334284
2200,6392056
4444,5474313
4092,6650340
4356,6916689
4395,6338243
3214,7451364
3085,5951827
4438,5542808
3958,6181646
3189,7144333
4219,6040905
3077,6321222
3458,5406016
4063,6995673
3322,5643406
4772,6021000
3482,7382154
4190,6820073
4476,5220453
4284,5515035
4153,6979518
3095,5263147
3025,6152309
4822,5507546
3240,6293617
2160,5520622
4164,7432052
3734,5877629
3729,6870796
4110,5173788
3837,7143933
3927,7470600
2448,6976556
4780,5371457
4610,6893830
4796,5887414
3898,6427891
2013,5633539
3699,5473264
3167,6155129
2663,5969918
3957,5934221
2570,5138885
4026,5747655
4153,6387760
2297,5617733
4080,6354133
2858,7035167
3080,6537237
2830,6793514
4275,5832842
4815,7487019
4964,5881720
4696,7286371
2262,6819895
2957,6373108
3645,5445451
3444,7281949
4781,6346313
4066,5329460
3351,6145415
3370,7381526
2025,7080950
2766,6816858
4005,5886741
3992,5789578
3870,6888078
3185,6804536
2162,5378955
3802,6753095
2589,6738297
3225,5533335
3475,5418766
2445,6325448
3029,6327550
3548,6758115
2773,6423505
3562,7279095
4059,6837411
2796,6516151
4105,5476298
3552,5391100
4840,5314687
2319,5399688
3645,6353593
3597,5585604
2148,5339113
4204,5401201
3791,6692058
3742,6336033
4861,7223759
4825,5739073
4327,5685967
3800,5293036
2328,6979025
3083,5704530
4208,7080423
2678,5008202
2361,6070097
4588,5422550
4387,6654486
2431,6927601
2980,6555307
4726,6873190
3631,7457496
2962,5722410
2133,7378485
2795,5527741
2652,5566637
4338,6894887
2595,5020056
4421,7278551
4248,6856509
4688,5729103
2782,5345460
3845,5463813
4956,5019482
4773,5993665
3957,7051710
2094,7265633
4690,5688730
2267,6737910
2326,5852768
4228,5567351
4550,5545738
2921,6125588
3761,5663952
2897,6494397
3532,7327088
3950,6464347
2049,5868847
2525,6087562
3285,5903874
4659,6059829
2582,7095852
4029,6590204
3015,6011213
3547,7283763
2222,6102919
4828,6269246
4871,7047664
2741,7258511
2886,6328732
3554,5482444
2018,5189315
2341,7265993
3717,6087140
2393,5705275
2969,7264451
4994,5616527
3743,6398417
3637,5330081
3599,7079080
4245,5652222
3981,7112207
2891,6287959
4259,6236619
2880,6836814
3358,7456877
3370,7286975
3848,5008962
4828,5876053
4431,5585450
4640,5880227
2452,6518695
4003,7272291
2958,5973127
2487,6826290
3082,6691375
2892,5517133
4454,6835538
4048,6124938
